
Instance: ORTEC-VRPTW-ASYM-1bdf25a7-d1-n531-k43.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:53, Cost_of_solution: 391351
Instance: ORTEC-VRPTW-ASYM-2d8735ce-d1-n270-k18.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:57, Cost_of_solution: 265048
Instance: ORTEC-VRPTW-ASYM-38e65f4b-d1-n443-k35.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:41:50, Cost_of_solution: 475661
Instance: ORTEC-VRPTW-ASYM-1cd538a9-d1-n400-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:41:50, Cost_of_solution: 428908
Instance: ORTEC-VRPTW-ASYM-2c4cceaa-d1-n470-k35.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:41:50, Cost_of_solution: 437860
Instance: ORTEC-VRPTW-ASYM-30d4e457-d1-n290-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:41:55, Cost_of_solution: 412515
Instance: ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:41:58, Cost_of_solution: 315343
Instance: ORTEC-VRPTW-ASYM-4c69f727-d1-n204-k12.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:42:48, Cost_of_solution: 278752
Instance: ORTEC-VRPTW-ASYM-37572525-d1-n240-k16.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:42:48, Cost_of_solution: 338770
Instance: ORTEC-VRPTW-ASYM-0dc59ef2-d1-n213-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:42:48, Cost_of_solution: 333923
Instance: ORTEC-VRPTW-ASYM-2aa3e5eb-d1-n239-k18.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:42:48, Cost_of_solution: 347112
Instance: ORTEC-VRPTW-ASYM-13db18b2-d1-n310-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:42:48, Cost_of_solution: 709991
Instance: ORTEC-VRPTW-ASYM-27e27157-d1-n350-k22.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:42:48, Cost_of_solution: 376501
Instance: ORTEC-VRPTW-ASYM-4d88728c-d1-n424-k40.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:45:43, Cost_of_solution: 376147
Instance: ORTEC-VRPTW-ASYM-6ac64141-d1-n254-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:45:43, Cost_of_solution: 364819
Instance: ORTEC-VRPTW-ASYM-6f389522-d1-n253-k23.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:45:43, Cost_of_solution: 209667
Instance: ORTEC-VRPTW-ASYM-4e5f1a3a-d1-n205-k17.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:45:51, Cost_of_solution: 458218
Instance: ORTEC-VRPTW-ASYM-4e39e33e-d1-n331-k31.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:45:51, Cost_of_solution: 374106
Instance: ORTEC-VRPTW-ASYM-4f179ccb-d1-n416-k26.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:45:51, Cost_of_solution: 285150
Instance: ORTEC-VRPTW-ASYM-50d1f78d-d1-n329-k19.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:46:41, Cost_of_solution: 515249
